80130,しょうゆ・つゆ,14
80131,みりん・料理酒,14
90601,みりん,14
90699,みりんその他,14
80132,お茶,15
80133,ｺｰﾋｰ・紅茶・ｺｺｱ・ｸﾘｰﾌﾟ,15
80134,加工食品飲料,15
80135,健康栄養食品,15
80136,小麦粉・パン粉・あげ玉,15
80137,カップ麺・袋ラーメン,16
80138,乾麺,16
80139,パスタ・パスタソース,16
80140,マヨネーズ・油・ドレッシング,17
80141,ジャム・蜂蜜,17
80142,ソース・ケチャップ・中華材,17
80143,カレー・シチュー,18
80144,スパイス,18
80145,農産缶詰,18
80146,畜産缶詰,18
80147,海産缶詰,18
80148,ギフト,19
80149,ホームメイド,19
80160,加工食品他,19
80199,加工食品他,19
92001,ビール系,19
92002,日本酒,19
92003,ウイスキー,19
92099,その他ギフト酒,19
80201,飲料５００ｍｌ,20
80202,飲料１５００ｍｌ,20
80203,飲料２０００ｍｌ,20
80204,飲料ケース,20
80210,お茶系　５００ｍｌ,20
80211,お茶系　２Ｌ,20
80212,お茶系　その他,20
80213,スポーツ飲料系　５００ｍｌ,20
80214,スポーツ飲料系　２Ｌ,20
80215,スポーツ飲料系　その他,20
80216,コーヒー・紅茶系,20
80217,炭酸飲料系　５００ｍｌ,20
80218,炭酸飲料系　１．５Ｌ,20
80219,水系,20
80220,健康飲料系,20
80221,果汁ジュース系　５００ｍｌ,20
80222,果汁ジュース系　１．５Ｌ,20
80223,果汁ジュース系　３５０ｍｌ,20
80224,果汁ジュース系　その他,20
80299,飲料その他,20
80301,チョコレート,21
80302,キャンディ,21
80303,スナック,21
80304,シリアル,21
80305,クッキー・ビスケット,21
80306,和洋菓子,21
80307,珍味,21
80308,米菓,21
80309,豆菓子,21
80310,ポケット物,21
80311,輸入菓子,21
80312,ギフト,21
80313,クリスマス関連商品,21
80399,菓子その他,21
80401,２ｋｇ米,22
80402,５ｋｇ米,22
80403,１０ｋｇ米,22
80404,もち米,22
80499,米その他,22
90101,ビール３５０ｍｌバラ,23
90102,ビール５００ｍｌバラ,23
90103,ビール３５０ｍｌ６缶パック,23
90104,ビール５００ｍｌ６缶パック,23
90105,ビール３５０ｍｌケース,23
90106,ビール５００ｍｌケース,23
90107,ビール瓶,23
90199,ビールその他,23
91201,第３ビール３５０ｍｌバラ,23
91202,第３ビール５００ｍｌバラ,23
91203,第３ビール３５０ｍｌ６缶Ｐ,23
91204,第３ビール５００ｍｌ６缶Ｐ,23
91205,第３ビール３５０ｍｌケース,23
91206,第３ビール５００ｍｌケース,23
91207,缶入りチューハイ,23
91299,リキュールその他,23
91301,発泡酒３５０ｍｌバラ,23
91302,発泡酒５００ｍｌバラ,23
91303,発泡酒３５０ｍｌ６缶パック,23
91304,発泡酒５００ｍｌ６缶パック,23
91305,発泡酒３５０ｍｌケース,23
91306,発泡酒５００ｍｌケース,23
91399,発泡酒その他,23
90201,佳撰,24
90202,上撰,24
90203,本醸造,24
90204,特別本醸造,24
90205,純米酒,24
90206,特別純米酒,24
90207,純米吟醸酒,24
90208,吟醸酒,24
90209,純米大吟醸,24
90210,大吟醸,24
90211,合成酒,24
90212,パック酒,24
90299,その他,24
