17,10112,長ねぎ,98,98,2012/08/06
24,10112,長ねぎバラ,78,78,2012/08/06
31,10112,大葉,78,78,2012/08/06
48,10106,玉ねぎ,78,78,2012/08/06
55,10104,きゃべつ,138,138,2012/08/06
62,10105,大根,138,138,2012/08/06
79,10101,パプリカ,158,158,2012/08/06
86,10103,きゅうり,38,38,2012/08/06
109,10210,幸水梨,198,198,2012/08/06
116,10101,グリーンアスパラ,98,98,2012/08/06
123,10109,小松菜,98,98,2012/08/06
130,10109,ほうれん草,128,128,2012/08/06
147,10111,とまと１個,138,138,2012/08/06
161,10109,春菊,198,198,2012/08/06
178,10104,チンゲン菜,138,138,2012/08/06
192,10107,とうもろこし,99,99,2012/06/24
208,10104,にら,78,78,2012/08/06
215,10101,サラダ菜,158,158,2012/08/06
222,10101,レタス,98,98,2012/08/06
239,10101,サニーレタス,198,198,2012/08/06
246,10213,アンデスメロン,780,780,2012/08/05
277,10103,ピーマン,98,98,2012/08/06
284,10106,紅あずま,138,138,2012/08/06
291,10205,アボカド,158,158,2012/08/06
307,10109,クレソン,100,100,2012/08/06
321,10102,パセリ,150,150,2012/08/06
338,10112,谷中しょうが,98,98,2012/08/06
345,10101,セロリ,198,198,2012/08/06
369,10101,ブロッコリー,158,158,2012/08/06
383,10201,サンふじ,198,198,2012/08/06
390,10202,レモン,68,68,2012/08/06
398,30109,,398,398,2010/03/17
437,10202,グレープフルーツルビー,98,98,2012/08/06
444,10202,オレンジ,98,98,2012/08/06
628,40303,やきとり,120,120,2012/08/06
1014,40302,ヒレカツ,168,168,2012/08/06
1015,40302,いかフライ,128,128,2012/08/06
1019,40302,生アジフライ,130,130,2012/07/24
1021,40302,ローストンカツ（国産）,398,398,2012/08/06
1024,40302,クリームコロッケ,110,110,2012/06/21
1026,40302,自家製　チキンカツ,298,298,2012/08/06
1031,40301,豆腐のふわふわ天ぷら,120,120,2012/07/25
1042,40302,まぐろ頭肉フライ,100,100,2012/01/05
1043,40302,じゃがいも串,78,78,2012/08/03
1044,40302,たまごフライ,110,110,2012/08/06
1045,40301,チクワテンプラ,105,105,2012/08/06
1048,40301,鶏の天ぷら,98,98,2012/08/06
1050,40302,コーンクリーミィコロッケ,30,30,2012/06/18
1051,40302,豚レバーカツ,130,130,2012/08/06
1052,40399,チューリップ,60,60,2012/07/09
1056,40302,手羽元バイキング,98,98,2012/06/26
1057,40302,タコカツ,100,100,2012/07/10
1058,40302,牛肉コロッケ,120,120,2012/08/06
1059,40302,コロッケバイキング,80,80,2012/07/28
1061,40302,骨なしフライドチキン,158,158,2012/08/06
1065,40399,醤油,10,10,2012/08/02
1066,40303,やきとりのたれ,39,39,2012/08/05
1069,40301,えび天ぷら,168,168,2012/08/06
1076,40301,イカ天ぷら,128,128,2012/08/06
1077,40301,特大あなご天ぷら,178,178,2012/08/06
1083,40301,キステンプラ,130,130,2012/08/06
1090,40301,かき揚げ,110,110,2012/08/06
1106,40302,エビフライ,168,168,2012/08/06
1113,40302,メンチカツ,130,130,2012/08/06
1144,40302,アジフライ,100,100,2012/08/06
2042,40302,コロッケ,110,110,2012/08/06
877130,91104,マイヤーズラム,1480,1480,2012/08/03
30024809,80311,ミニチョコレ−ト,99,99,2012/07/23
30024908,80311,ミニストロベリ−,99,99,2012/08/05
30045002,60203,ミニヴェタフィーノワ,298,298,2012/08/02
45014048,50107,朝採り卵の焼きプリン,148,105,2012/08/06
45019517,80213,大塚製薬ポカリスエットペット,128,128,2012/08/06
45019562,80215,大塚ポカリスエット２００ｍｌ,108,108,2012/08/05
45037221,60203,北海道マスカルポーネ,578,578,2012/07/30
45039218,70406,胡瓜の古漬,229,229,2012/08/06
45039225,70406,つぼ漬,229,229,2012/08/03
45044007,80302,メントスレインボウ,100,100,2012/08/04
45044021,80310,メントスレモン,100,100,2012/06/16
45044144,80310,クロレッツアイス−６９３Ｃ,78,78,2012/06/11
45067396,80144,Ｓ＆Ｂマスタード,229,229,2012/08/06
45071256,80141,チョコシロップ,289,289,2012/08/06
45075551,80310,リカルデントガム,120,120,2012/08/06
45075575,80310,ストレイドストライプ,150,150,2012/08/01
45075582,80310,メントスリンゴ,100,100,2012/07/18
45076206,50107,たらみ（桃）,262,262,2012/08/06
45076213,50107,たらみ（みかん）,262,262,2012/08/06
45076220,50107,たらみ（ぶどう）,262,262,2012/08/06
45076237,50107,たらみ（ミックス）,262,262,2012/08/06
45076633,60599,冬のザクリッチＷチョコレート,126,126,2012/07/29
45080128,80302,メントスレモンスカッシュ,100,100,2012/08/06
45083983,60501,ミニセレジャイアントコーン,63,63,2011/06/27
